"nombre","slug","marca_slug","tipo_slug","codigo","entradilla","descripcion","destacados","ficha_tecnica_demo","metaTitle","metaDescription"
"Retrocargadora Case 851 FX Tier 4","retrocargadora-case-construction-851-fx-tier4","case-construction","retrocargadoras","851 FX","Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo.","Retrocargadora Case 851 FX Tier 4. Maquina mixta: cargador frontal adelante y retroexcavadora atras, en un solo equipo. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Estabilizadores de apoyo amplio|Brazo extensible opcional|Tres frentes de trabajo sin cambiar de maquina","","",""
"Compactador de llantas Dynapac CP1200","compactador-de-llantas-dynapac-cp1200","dynapac","compactador-de-llantas-dynapac","CP1200","Rodillo neumatico para sellado y acabado de carpeta asfaltica.","Compactador de llantas Dynapac CP1200. Rodillo neumatico para sellado y acabado de carpeta asfaltica. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Presion de inflado ajustable en operacion|Lastre modular|Sistema de riego de llantas","","",""
"Compactador de llantas Dynapac CP2100","compactador-de-llantas-dynapac-cp2100","dynapac","compactador-de-llantas-dynapac","CP2100","Rodillo neumatico para sellado y acabado de carpeta asfaltica.","Compactador de llantas Dynapac CP2100. Rodillo neumatico para sellado y acabado de carpeta asfaltica. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Presion de inflado ajustable en operacion|Lastre modular|Sistema de riego de llantas","","",""
"Compactador de suelo Dynapac CA1500D","compactador-de-suelo-dynapac-ca1500d","dynapac","compactador-de-suelo-dynapac","CA1500D","Rodillo vibratorio de tambor liso para compactacion de base y subrasante.","Compactador de suelo Dynapac CA1500D. Rodillo vibratorio de tambor liso para compactacion de base y subrasante. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Amplitud y frecuencia seleccionables|Traccion en tambor y ruedas|Tambor liso o pata de cabra","","",""
"Compactador de suelo Dynapac CA35D","compactador-de-suelo-dynapac-ca35d","dynapac","compactador-de-suelo-dynapac","CA35D","Rodillo vibratorio de tambor liso para compactacion de base y subrasante.","Compactador de suelo Dynapac CA35D. Rodillo vibratorio de tambor liso para compactacion de base y subrasante. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Amplitud y frecuencia seleccionables|Traccion en tambor y ruedas|Tambor liso o pata de cabra","","",""
"Compactador doble rodillo Dynapac CC1200 VI","compactador-doble-rodillo-dynapac-cc1200-vi","dynapac","compactador-doble-rodillo-dynapac","CC1200 VI","Rodillo tandem para compactacion de mezcla asfaltica en caliente.","Compactador doble rodillo Dynapac CC1200 VI. Rodillo tandem para compactacion de mezcla asfaltica en caliente. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Riego por aspersion con filtrado doble|Puesto de operacion deslizante|Arranque y parada de vibracion automaticos","","",""
"Compactador doble rodillo Dynapac CC4000 VI","compactador-doble-rodillo-dynapac-cc4000-vi","dynapac","compactador-doble-rodillo-dynapac","CC4000 VI","Rodillo tandem para compactacion de mezcla asfaltica en caliente.","Compactador doble rodillo Dynapac CC4000 VI. Rodillo tandem para compactacion de mezcla asfaltica en caliente. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Riego por aspersion con filtrado doble|Puesto de operacion deslizante|Arranque y parada de vibracion automaticos","","",""
"Pavimentadora Dynapac F1800C","pavimentadora-dynapac-f1800c","dynapac","pavimentadoras-dynapac","F1800C","Terminadora de asfalto para extendido continuo con acabado uniforme.","Pavimentadora Dynapac F1800C. Terminadora de asfalto para extendido continuo con acabado uniforme. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Regla de ancho variable|Control de nivelacion electronico|Tolva de descarga rapida","","",""
"Pavimentadora Dynapac SD2500C","pavimentadora-dynapac-sd2500c","dynapac","pavimentadoras-dynapac","SD2500C","Terminadora de asfalto para extendido continuo con acabado uniforme.","Pavimentadora Dynapac SD2500C. Terminadora de asfalto para extendido continuo con acabado uniforme. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Regla de ancho variable|Control de nivelacion electronico|Tolva de descarga rapida","","",""
"Regla vibratoria Dynapac V5100 VTE","regla-dynapac-v5100-vte","dynapac","reglas-dynapac","V5100 VTE","Regla vibratoria para nivelacion y acabado de losas de concreto.","Regla vibratoria Dynapac V5100 VTE. Regla vibratoria para nivelacion y acabado de losas de concreto. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Perfil ligero de manejo por un operario|Vibracion regulable|Longitudes intercambiables","","",""
"Excavadora Hitachi ZX130-5G","excavadora-hitachi-zx130-5g","hitachi","excavadoras-hitachi","ZX130-5G","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX130-5G. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Excavadora Hitachi ZX200LC-5G","excavadora-hitachi-zx200lc-5g","hitachi","excavadoras-hitachi","ZX200LC-5G","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX200LC-5G. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Excavadora Hitachi ZX210LC-5B","excavadora-hitachi-zx210lc-5b","hitachi","excavadoras-hitachi","ZX210LC-5B","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX210LC-5B. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Excavadora Hitachi ZX350LC-5B","excavadora-hitachi-zx350lc-5b","hitachi","excavadoras-hitachi","ZX350LC-5B","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX350LC-5B. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","si","",""
"Excavadora Hitachi ZX490-7G","excavadora-hitachi-zx490-7g","hitachi","excavadoras-hitachi","ZX490-7G","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX490-7G. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Excavadora Hitachi ZX690LC-7H","excavadora-hitachi-zx690lc-7h","hitachi","excavadoras-hitachi","ZX690LC-7H","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Excavadora Hitachi ZX690LC-7H. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Miniexcavadora Hitachi ZX17U-5N","miniexcavadora-hitachi-zx17u-5n","hitachi","excavadoras-hitachi","ZX17U-5N","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Miniexcavadora Hitachi ZX17U-5N. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Miniexcavadora Hitachi ZX35U-5N","miniexcavadora-hitachi-zx35u-5n","hitachi","excavadoras-hitachi","ZX35U-5N","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Miniexcavadora Hitachi ZX35U-5N. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Miniexcavadora Hitachi ZX50U-5N","miniexcavadora-hitachi-zx50u-5n","hitachi","excavadoras-hitachi","ZX50U-5N","Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria.","Miniexcavadora Hitachi ZX50U-5N. Excavadora de la serie ZAXIS para movimiento de tierras, obra civil y mineria. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Sistema hidraulico de tres bombas|Cabina con estructura antivuelco|Telemetria de flota integrada","","",""
"Miniexcavadora Yanmar ViO17","miniexcavadora-yanmar-vio17","yanmar","miniexcavadoras","ViO17","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO17. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
"Miniexcavadora Yanmar ViO35-7","miniexcavadora-yanmar-vio35-7","yanmar","miniexcavadoras","ViO35-7","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO35-7. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
"Miniexcavadora Yanmar ViO50-6","miniexcavadora-yanmar-vio50-6","yanmar","miniexcavadoras","ViO50-6","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO50-6. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
"Miniexcavadora Yanmar ViO50-6A","miniexcavadora-yanmar-vio50-6a","yanmar","miniexcavadoras","ViO50-6A","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO50-6A. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
"Miniexcavadora Yanmar ViO55-6","miniexcavadora-yanmar-vio55-6","yanmar","miniexcavadoras","ViO55-6","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO55-6. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
"Miniexcavadora Yanmar ViO80-1","miniexcavadora-yanmar-vio80-1","yanmar","miniexcavadoras","ViO80-1","Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision.","Miniexcavadora Yanmar ViO80-1. Miniexcavadora compacta para obra urbana, jardineria y trabajos de precision. Texto de demostracion redactado para la migracion: no procede del fabricante ni del sitio actual. Escribenos para recibir la ficha oficial y una cotizacion.","Giro de radio corto|Oruga de ancho variable|Hoja topadora frontal","","",""
